"State","Credentials","Specialty","Opioid.Prescriber"
"UT","MD","Emergency Medicine",1
"KS","RPAC","Physician Assistant",1
"NY","MD","Gastroenterology",0
"IL","PA-C","Physician Assistant",1
"IL","PA-C","Physician Assistant",1
"NE","O.D.","Optometry",0
"WA","M.D.","Pulmonary Disease",0
"HI","MD","Infectious Disease",0
"LA","M.D.","Obstetrics/Gynecology",0
"PA","PA","Physician Assistant",1
"NJ","M.D.","Emergency Medicine",1
"PA","MD","General Surgery",1
"IL","M.D.","Otolaryngology",1
"AL","MD","Cardiology",0
"NY","MD","Family Practice",1
"NH","M.D.","Orthopedic Surgery",1
"SC","O.D.","Optometry",0
"OH","D.D.S.","Dentist",1
"NY","MD","Internal Medicine",1
"CA","MD","Psychiatry & Neurology",0
"CT","APRN","Nurse Practitioner",1
"TX","M.D.","Internal Medicine",0
"DC","MD","Diagnostic Radiology",0
"NY","M.D","Internal Medicine",1
"TX","MD, MPH","Preventive Medicine",0
"PA","M.D.","Internal Medicine",0
"NY","RPAC","Physician Assistant",0
"IA","M.D.","Dermatology",0
"OH","O.D.","Optometry",0
"IL","MD","Dermatology",0
"OR","M.D.","Student in an Organized Health Care Education/Training Program",0
"PA","M.D.","Family Practice",1
"TX","D.D.S.","Dentist",0
"GA","MD","Radiation Oncology",0
"MN","CNP","Nurse Practitioner",1
"AZ","FNP","Nurse Practitioner",1
"AR","FNP-BC","Nurse Practitioner",1
"GA","M.D.","Cardiology",0
"HI","O.D.","Optometry",0
"CA","MD","Orthopedic Surgery",1
"TX","MD","Family Practice",1
"CA","M.D.","Student in an Organized Health Care Education/Training Program",0
"FL","MD","Internal Medicine",1
"GA","M.D.","Physical Medicine and Rehabilitation",1
"RI","M.D.","Internal Medicine",1
"NC","MD","General Surgery",1
"MA","MD","Orthopedic Surgery",1
"MA","NP","Nurse Practitioner",0
"CA","M.D.","Ophthalmology",0
"CA","M.D","Internal Medicine",1
"IL","D.D.S.","Dentist",0
"NC","M.D.","Dermatology",0
"CO","MD","Student in an Organized Health Care Education/Training Program",1
"CA","MD","Psychiatry & Neurology",0
"AZ","D.D.S.","Dentist",0
"OH","M.D.","Family Practice",1
"NY","PA","Physician Assistant",0
"AZ","D.O.","Osteopathic Manipulative Medicine",0
"SD","PA-C","Physician Assistant",1
"IA","M.D.","Family Practice",1
"OH","M.D.","Family Practice",1
"IL","","Student in an Organized Health Care Education/Training Program",1
"NY","MD","Family Practice",1
"TX","MD","Psychiatry",0
"OR","MD","Obstetrics/Gynecology",0
"KY","M.D.","Critical Care (Intensivists)",1
"TX","DPM","Podiatry",1
"OH","D.D.S","Dentist",0
"NC","FNP","Nurse Practitioner",1
"AZ","N.M.D.","Naturopath",0
"TX","MD","Hematology/Oncology",1
"LA","DDS","Dentist",1
"DE","M.D.","Orthopedic Surgery",1
"LA","DDS","Dentist",0
"MI","M.D.","Urology",1
"HI","MD","Family Practice",1
"CT","O.D.","Optometry",0
"LA","M.D.","Student in an Organized Health Care Education/Training Program",1
"WA","DDS,MSD","Dentist",1
"TN","APN","Nurse Practitioner",0
"AR","PA-C","Physician Assistant",1
"NY","MD","Dermatology",0
"CO","FNP","Nurse Practitioner",1
"WA","M.D.","Obstetrics/Gynecology",0
"MN","MD","Rheumatology",0
"CA","M.D.","Allergy/Immunology",0
"NJ","","Family Practice",1
"AR","MD","Physical Medicine and Rehabilitation",1
"IL","","Dentist",1
"NY","MD","Rheumatology",1
"FL","M.D","Family Practice",1
"PA","DO","Emergency Medicine",1
"PA","M.D.","Family Practice",1
"WA","ARNP","Nurse Practitioner",0
"FL","M.D.","Urology",1
"NJ","O.D.","Optometry",0
"TN","D.P.M.","Podiatry",1
"TN","MD","Family Practice",1
"KY","MD","Internal Medicine",0
"OK","MD","Family Practice",1
"VA","D.D.S","Dentist",1
"NY","M.D.","Otolaryngology",0
"FL","MD","Urology",1
"MA","M.D.","Emergency Medicine",1
"PR","MD","Physical Medicine and Rehabilitation",1
"MA","MD","Cardiology",0
"WA","MD","Emergency Medicine",1
"IN","MD","Family Practice",1
"MN","M.D.","Emergency Medicine",1
"TN","MD","Dermatology",0
"TX","DDS","Dentist",0
"OR","MD","Family Practice",1
"CA","M.D.","Gastroenterology",0
"OK","D.O.","General Surgery",1
"NY","FNP","Nurse Practitioner",1
"KS","PAC","Physician Assistant",0
"MI","D.D.S.,M.S.","Dentist",1
"AL","DMD","Dentist",1
"ME","DDS","Oral Surgery (dentists only)",1
"NJ","O.D.","Optometry",0
"CT","M.D.","Psychiatry",0
"NY","D.D.S.","Dentist",0
"NY","M.D.","Orthopedic Surgery",0
"MN","DDS","Dentist",0
"LA","MD, PHD","General Practice",1
"AR","M.D.","Emergency Medicine",1
"SC","M.D.","General Surgery",1
"NY","M.D.","General Surgery",1
"MS","CNFP","Nurse Practitioner",1
"AL","MD","Family Practice",1
"NJ","MD","Cardiology",0
"AR","APN","Nurse Practitioner",0
"IN","MD","Emergency Medicine",1
"NY","MD","Internal Medicine",0
"OR","D.D.S.","Dentist",0
"TX","P.A.","Physician Assistant",1
"UT","MD","Family Practice",1
"OH","MD","Obstetrics/Gynecology",0
"AR","MD","Internal Medicine",0
"WA","ARNP FNP-BC","Nurse Practitioner",1
"NY","DMD","Maxillofacial Surgery",0
"WI","MD","Ophthalmology",0
"KY","MD","General Surgery",1
"PA","MD","Obstetrics/Gynecology",0
"KY","M.D.","Emergency Medicine",0
"TX","D.D.S.","Dentist",1
"OR","","Optometry",0
"MA","NP","Nurse Practitioner",0
"SC","APRN","Nurse Practitioner",1
"FL","D.D.S.","Dentist",0
"CO","O.D.","Optometry",0
"MA","D.D.S.","Dentist",0
"NC","MD","Student in an Organized Health Care Education/Training Program",1
"AZ","M.D.","Family Practice",1
"NY","MD","Pediatric Medicine",0
"SC","P.A.","Physician Assistant",1
"CA","FNP","Nurse Practitioner",1
"NC","M.D.","Psychiatry",1
"MO","DDS","Dentist",0
"TN","M.D.","Internal Medicine",1
"OR","P.A.-C","Physician Assistant",1
"NY","FNP","Nurse Practitioner",0
"WA","MD","Cardiology",0
"MI","MD","Internal Medicine",1
"CO","D.D.S","Dentist",0
"MD","D.M.D.","Oral Surgery (dentists only)",1
"NY","RN, MSN, CCRN, ANP","Nurse Practitioner",1
"KY","ARNP","Nurse Practitioner",0
"IN","MD","Family Practice",1
"ME","M.D.","General Surgery",1
"MI","M.D.","Physical Medicine and Rehabilitation",1
"TN","FNP","Nurse Practitioner",1
"NY","MS RN NPP","Nurse Practitioner",0
"MD","P.A.-C.","Physician Assistant",1
"LA","DDS","Dentist",1
"TX","M.D.","Psychiatry",1
"TX","M.D.","Orthopaedic Surgery",1
"AL","D.O.","Student in an Organized Health Care Education/Training Program",0
"AL","M.D.","Emergency Medicine",1
"NC","M.D.","Neurology",0
"IL","M.D.","Urology",0
"KS","O.D.","Optometry",0
"CA","M.D.","Family Practice",1
"OK","PA","Family Practice",1
"FL","ARNP","Nurse Practitioner",0
"ID","PA","Physician Assistant",0
"VA","PA","Physician Assistant",1
"NY","NP","Nurse Practitioner",1
"WV","APRN-BC","Nurse Practitioner",1
"TN","M.D.","Endocrinology",1
"MA","MD","Orthopedic Surgery",1
"MI","NP-C","Nurse Practitioner",1
"PA","","Internal Medicine",0
"AZ","D.O","Student in an Organized Health Care Education/Training Program",0
"SC","DMD","Dentist",0
"TX","MD","Family Practice",1
"FL","MD","Cardiology",1
"CA","MD","Orthopedic Surgery",1
"TX","NP-C","Nurse Practitioner",1
"TX","FNP","Nurse Practitioner",0
"IA","DO","Family Practice",1
"WA","M.D.","Student in an Organized Health Care Education/Training Program",1
"CA","MD","Internal Medicine",0
"MO","D.O.","Internal Medicine",1
"GA","MD","Cardiology",1
"NV","OD","Optometry",0
"IL","M.D.","Internal Medicine",1
"VT","MD","Family Practice",1
"NY","M.D.","Nephrology",0
"CA","MD","Family Practice",1
"MI","MD","Ophthalmology",0
"NC","P.A.","Physician Assistant",0
"SC","","Nurse Practitioner",1
"MI","PA","Physician Assistant",1
"KY","M.D.","Obstetrics/Gynecology",0
"WV","O.D.","Optometry",0
"NY","M.D.","Internal Medicine",0
"FL","D.M.D.","Dentist",1
"IL","FNP-BC","Nurse Practitioner",0
"OH","M.D.","Family Practice",1
"PA","M.D.","Family Practice",0
"MN","MD","Family Practice",0
"TN","FNP","Nurse Practitioner",1
"AL","MD","Emergency Medicine",1
"ME","MD","Emergency Medicine",1
"PR","M.D.","Internal Medicine",1
"CA","MD","Family Practice",1
"NY","RN, ANP","Nurse Practitioner",1
"KY","M.D.","Family Practice",0
"NH","MD","Otolaryngology",1
"NC","DDS","Dentist",0
"MO","MD","Internal Medicine",1
"FL","MD","Obstetrics/Gynecology",0
"WA","D.M.D","Dentist",1
"GA","DMD","Dentist",0
"MD","M.D.","Otolaryngology",0
"CA","MD","Internal Medicine",1
"NY","M.D.","Dermatology",0
"CA","M.D.","Psychiatry",0
"CA","DDS","Dentist",1
"NY","MD","Internal Medicine",1
"OH","MD","Neurosurgery",0
"OH","M.D.","Internal Medicine",1
"PA","M.D., PH. D.","Ophthalmology",0
"MO","M.D.","Family Practice",1
"AR","APN,FNP","Nurse Practitioner",1
"TX","MD","Diagnostic Radiology",1
"NY","PA","Physician Assistant",1
"NC","M.D.","Internal Medicine",1
"MO","DO","Hematology/Oncology",1
"MN","M.D.","Family Practice",1
"KY","PA-C","Physician Assistant",0
"WA","M.D. - PH.D","Nephrology",1
"PR","M.D.","General Practice",1
"FL","ARNP","Nurse Practitioner",0
"CA","MD","Interventional Pain Management",1
"WI","DDS","Dentist",0
"MI","D.D.S.","Dentist",1
"RI","","Dermatology",0
"NJ","M.D.","Family Practice",1
"MS","M.D.","Emergency Medicine",1
"NC","M.D.","Neurology",1
"MT","MD","Internal Medicine",0
"MD","CRNP","Nurse Practitioner",1
"MA","MD","Ophthalmology",0
"GA","MD","Psychiatry",0
"CO","M.D.","Family Practice",1
"NJ","M.D.","Internal Medicine",1
"CO","M.D.","Family Practice",1
"MO","M.D.","Neurosurgery",1
"CO","PA-C","Physician Assistant",1
"TX","MD","Neurology",1
"TX","DDS","Dentist",1
"WA","","Optometry",0
"OH","M.D.","Pediatric Medicine",0
"DC","MD","Urology",0
"PR","MD","General Practice",1
"UT","PHD, FNP","Nurse Practitioner",1
"FL","M.D.","Cardiology",0
"MD","MD","Internal Medicine",0
"MT","FNP-C","Nurse Practitioner",1
"MN","M.D.","Obstetrics/Gynecology",0
"KS","APRN","Nurse Practitioner",0
"NM","M.D.","Family Practice",1
"FL","MD","Infectious Disease",0
"IL","M.D","Family Practice",1
"FL","M.D.","Anesthesiology",1
"TX","MD","Internal Medicine",1
"IN","M.D.","Internal Medicine",1
"AZ","DDS","Dentist",0
"MS","M.D.","Obstetrics/Gynecology",0
"KS","D.D.S.","Dentist",0
"PA","M.D.","Psychiatry",0
"MI","MD","Radiation Oncology",1
"MO","DO","General Practice",1
"TX","M.D.","Obstetrics/Gynecology",1
"MO","MD","Psychologist (billing independently)",1
"TX","MD","Family Practice",1
"NV","MD","Internal Medicine",1
"WA","MD","Family Practice",1
"MO","M.D.","Family Practice",1
"NY","M.D.","Specialist",0
"OR","MD","Family Practice",1
"TX","M.D.","Emergency Medicine",1
"NJ","MD","Internal Medicine",0
"NY","MD","Gastroenterology",0
"NC","M.D.,","Internal Medicine",1
"MN","NP","Nurse Practitioner",1
"VT","M.D.","Otolaryngology",0
"GA","MD","Hematology/Oncology",1
"MA","DMD","Dentist",0
"TX","M.D.","Obstetrics/Gynecology",0
"MO","MD","Pulmonary Disease",0
"FL","M.D.","Urology",1
"MA","M.D.","Internal Medicine",0
"CO","PA-C","Physician Assistant",1
"WI","D.D.S","Dentist",0
"NY","M.D.","Obstetrics/Gynecology",0
"PA","DPM","Podiatry",0
"IA","ARNP-C","Nurse Practitioner",0
"DE","MD","Orthopedic Surgery",1
"AL","MD P C","General Surgery",1
"OR","MD","Cardiology",1
"AR","P.A.-C.","Physician Assistant",1
"WV","MD","General Surgery",1
"NY","PA","Physician Assistant",1
"TX","M.D.","Family Practice",1
"NY","","Student in an Organized Health Care Education/Training Program",0
"IN","PA","Physician Assistant",0
"FL","M.D.","Cardiology",0
"OH","D.D.S.","Dentist",1
"LA","","Student in an Organized Health Care Education/Training Program",0
"NY","DDS PLLC","Dentist",0
"KS","MD","Colorectal Surgery (formerly proctology)",1
"CA","M.D.","General Surgery",1
"WV","PA-C","Physician Assistant",1
"CA","M.D.","Internal Medicine",1
"NY","PA-C","Physician Assistant",1
"CA","D.D.S.","Dentist",0
"IL","MD","Student in an Organized Health Care Education/Training Program",0
"IL","M.D.","Internal Medicine",1
"CA","D.O.","Emergency Medicine",1
"NY","M.D.","General Surgery",1
"PA","PA-C","Physician Assistant",0
"MT","MD","Family Practice",1
"VA","MD","Psychiatry",0
"MA","MD","Internal Medicine",1
"ID","NP","Nurse Practitioner",0
"NY","DDS","Dentist",0
"CO","PA","Physician Assistant",1
"CA","MD","Orthopedic Surgery",1
"MO","RN, CS, FNP","Nurse Practitioner",1
"FL","M.D.","Internal Medicine",1
"MN","MD","Internal Medicine",1
"CO","O.D.","Optometry",0
"PA","MD","Psychiatry & Neurology",0
"NY","MD","Cardiology",1
"TX","M.D.","General Practice",0
"MD","CRNP","Nurse Practitioner",0
"NJ","M.D.","Urology",1
"NY","","Internal Medicine",1
"OR","MD","Internal Medicine",1
"NY","M.D.","Internal Medicine",0
"PA","MD","Internal Medicine",1
"IN","ARNP","Nurse Practitioner",0
"PR","MD","Internal Medicine",1
"FL","ARNP","Nurse Practitioner",0
"IA","O.D.","Optometry",0
"IL","PA-C","Physician Assistant",1
"MI","D.O","Student in an Organized Health Care Education/Training Program",0
"KY","MD","Rheumatology",1
"AZ","PA-C","Physician Assistant",0
"OR","ARNP","Nurse Practitioner",0
"OH","M.D.","Internal Medicine",1
"MN","M.D.","Family Practice",1
"CA","MD","Dermatology",0
"GA","M. D.","Family Practice",1
"FL","M.D.","Internal Medicine",0
"PA","MD","Dermatology",0
"MD","CRNP- FAMILY","Nurse Practitioner",1
"CA","MD","Ophthalmology",0
"OR","MD","Neurological Surgery",0
"NC","MD","Family Practice",1
"MA","MD","Emergency Medicine",1
"OH","M.D.","Student in an Organized Health Care Education/Training Program",1
"IL","D.O.","Emergency Medicine",1
"TX","NURSE PRACTITIONER","Nurse Practitioner",0
"LA","PA","Physician Assistant",1
"UT","PA-C","Physician Assistant",1
"PA","D.O.","Family Practice",1
"AR","M.D.","Family Practice",1
"OK","M.D.","Internal Medicine",1
"UT","D.C., FNP","Nurse Practitioner",1
"NY","","Physician Assistant",0
"NY","DOCTOR OF OPTOMETRY","Optometry",0
"MN","MD","Family Practice",1
"PA","MD","Internal Medicine",0
"MI","M.D.","Psychiatry",0
"MN","M.D.","Internal Medicine",0
"NJ","M.D.","Dermatology",0
"MA","M.D.","Student in an Organized Health Care Education/Training Program",0
"CA","MD","Family Practice",1
"NY","D.D.S.","Dentist",0
"TN","MD","Internal Medicine",1
"AR","M.D.","Psychiatry & Neurology",0
"WV","DDS","Dentist",0
"MS","MD","Emergency Medicine",1
"MA","M.D.","Otolaryngology",0
"CA","D.D.S., F.A.C.D.","Dentist",0
"OH","M.D.","Internal Medicine",1
"ID","MD","Family Practice",1
"CA","MD","Gastroenterology",0
"CA","M.D.","Internal Medicine",1
"TN","P.A.-C","Physician Assistant",1
"ME","MD","Neurosurgery",1
"VA","DDS","Dentist",1
"OK","D.O.","Family Practice",1
"OH","MD","Family Practice",1
"OH","D.P.M.","Podiatry",1
"OH","MD","Internal Medicine",1
"MA","DDS, MD","Oral Surgery (dentists only)",1
"OK","MD","Family Practice",1
"CA","M.D.","Endocrinology",0
"CA","M.D.","General Surgery",1
"NC","MD","Interventional Pain Management",1
"PA","MD","Plastic and Reconstructive Surgery",1
"CO","D.D.S.","Dentist",0
"MD","MD","Ophthalmology",0
"MN","PA-C","Physician Assistant",1
"IL","MD","Family Practice",1
"CA","M.D.","Student in an Organized Health Care Education/Training Program",0
"FL","M.D.","Anesthesiology",1
"GA","D.O.","Emergency Medicine",1
"MN","M.D.","Family Practice",1
"CA","MD","Dermatology",0
"PA","M.D.","Psychiatry",0
"NJ","D.M.D.","Oral Surgery (dentists only)",1
"RI","M.D., PH.D.","Internal Medicine",1
"OR","M.D.","General Surgery",1
"ME","MD","Psychiatry",0
"TX","MD","Emergency Medicine",1
"MO","DDS","Dentist",0
"FL","M.D.","Family Practice",1
"NY","","Internal Medicine",1
"WI","MD","Family Practice",1
"MA","MD","Plastic and Reconstructive Surgery",1
"TX","MD","Dermatology",1
"NC","RN, MSN, PMHNP, BC","Nurse Practitioner",0
"CT","MD","Geriatric Medicine",0
"TN","DDS","Dentist",0
"IL","D.D.S.","Dentist",0
"IL","M.D.","Psychiatry",0
"OK","MD","Internal Medicine",1
"NY","N.P.","Nurse Practitioner",0
"OR","MD","Psychiatry & Neurology",0
"NY","M.D.","Urology",1
"IL","DDS","Dentist",0
"TX","","Dentist",1
"MI","M.D.","Internal Medicine",1
"FL","D.O.","Family Practice",0
"MD","M.D.","Cardiology",0
"OH","MD","Ophthalmology",0
"CT","MD","Internal Medicine",1
"AL","M.D.","Radiation Oncology",1
"NY","RPA-C","Physician Assistant",1
"MS","M.D.","Internal Medicine",0
"NV","M.D.","Endocrinology",1
"KY","DMD","Dentist",1
"CA","MD","Obstetrics/Gynecology",0
"CA","MD","Internal Medicine",1
"WA","PA-C","Physician Assistant",1
"ME","M.D.","Internal Medicine",0
"OH","DMD","Dentist",1
"LA","MD","Internal Medicine",1
"NH","M.D.","Neurological Surgery",1
"NY","MD","Cardiology",0
"PA","","Endocrinology",0
"WA","MD","Family Practice",1
"CA","M.D","Family Practice",1
"NY","MD","Hematology/Oncology",1
"VA","M.D.","Emergency Medicine",1
"SD","MD","General Practice",1
"CA","MD","Family Practice",1
"NY","MD","Orthopedic Surgery",1
"PA","MD","Otolaryngology",0
"WA","MD","Internal Medicine",1
"IA","M.D.","Internal Medicine",1
"OH","DPM","Podiatry",1
"NV","M.D.","Emergency Medicine",1
"MA","MD","Pulmonary Disease",0
"WI","MD","Rheumatology",0
"TN","M.D.","Nephrology",1
"TX","M.D.","Internal Medicine",1
"AR","D.D.S.","Dentist",1
"CA","MD","Internal Medicine",1
"OR","FNP, PMHNP","Nurse Practitioner",0
"AZ","M.D.","Anesthesiology",1
"CA","MD","Family Practice",1
"TN","DNP","Nurse Practitioner",0
"IN","M.D.","Anesthesiology",1
"WI","APNP","Nurse Practitioner",0
"CA","DDS","Dentist",0
"TX","D.O.","Internal Medicine",0
"TX","MD","Rheumatology",1
"NY","FLORA LAU","Physician Assistant",0
"PR","D.M.D.","Dentist",0
"OH","NP-C","Nurse Practitioner",1
"RI","MD","Pulmonary Disease",1
"IL","MD","Internal Medicine",1
"CA","M.D.","Family Practice",1
"GA","M.D.","General Practice",1
"MI","D.O.","Family Practice",1
"KY","ARNP","Nurse Practitioner",1
"CA","MD","General Surgery",1
"WI","NP","Nurse Practitioner",0
"VA","M.D.","Ophthalmology",0
"FL","PA-C","Physician Assistant",1
"OK","D.O.","Family Practice",0
"NY","M.D.","Internal Medicine",0
"SC","MD","Family Practice",1
"CA","DDS,MD","Oral Surgery (dentists only)",1
"IL","ARNP-BC","Nurse Practitioner",1
"IL","D.O.","Student in an Organized Health Care Education/Training Program",0
"NC","M.D.","Cardiology",0
"MI","MD","Family Practice",1
"OH","DPM","Podiatry",1
"MD","M.D.","Infectious Disease",0
"IL","MD","Family Practice",0
"OH","M.D.","Student in an Organized Health Care Education/Training Program",0
"IN","M.D.","Family Practice",1
"SC","DMD","Dentist",0
"CA","MD","Hospitalist",1
"NY","D.O.","Obstetrics/Gynecology",1
"MD","MD,MPH","Internal Medicine",0
"MA","DMD","Dentist",0
"SC","M.D.","Obstetrics/Gynecology",1
"FL","MD","Dermatology",1
"KS","M.D.","Orthopedic Surgery",1
"CA","","Neurology",0
"VA","MD","Family Practice",1
"AZ","DDS","Dentist",0
"KS","PA-C","Physician Assistant",0
"OH","M.D.","Hematology",1
"MA","M.D.","Internal Medicine",0
"NJ","D.M.D.","Dentist",1
"MI","M.D.","Cardiology",0
"ME","M.D.","Internal Medicine",1
"WV","D.O.","Emergency Medicine",1
"NE","DO","Family Practice",1
"MI","FNP","Nurse Practitioner",1
"VA","MD","Cardiology",0
"FL","MD, FACP","Internal Medicine",1
"DE","O.D.","Optometry",0
"IN","M.D.","Obstetrics/Gynecology",1
"LA","NP-C","Nurse Practitioner",0
"MD","MD","Dermatology",0
"NY","DDS","Dentist",0
"MI","PA-C","Physician Assistant",1
"NV","M.D.","Emergency Medicine",1
"NY","RPA-C","Physician Assistant",1
"PA","M.D.","Physical Medicine and Rehabilitation",1
"FL","D.P.M.","Podiatry",0
"TN","APN, BC-FNP","Nurse Practitioner",0
"TN","F.N.P.-C","Nurse Practitioner",1
"GA","NP","Nurse Practitioner",0
"PA","","Student in an Organized Health Care Education/Training Program",1
"WA","MD","Internal Medicine",1
"CA","M.D.","Emergency Medicine",1
"KS","APRN","Nurse Practitioner",0
"TX","MD","Internal Medicine",1
"MA","","Nurse Practitioner",1
"NJ","MD","General Surgery",1
"MI","M.D.","Pulmonary Disease",0
"AZ","M.D.","Emergency Medicine",1
"NM","M.D.","Internal Medicine",1
"FL","D.D.S.","Dentist",1
"PA","MD","Internal Medicine",0
"OH","CNP","Nurse Practitioner",0
"GA","DMD, MD","Maxillofacial Surgery",1
"WA","DDS","Dentist",1
"TX","DDS","Dentist",1
"NY","MD, PH.D","Neurology",1
"UT","P.A.","Physician Assistant",0
"AR","O.D.","Optometry",0
"UT","DDS, MAGD","Dentist",1
"KS","M.D.","Family Practice",1
"CA","PA","Physician Assistant",1
"OH","MD","Internal Medicine",1
"PA","CRNP","Nurse Practitioner",1
"NC","","Internal Medicine",0
"OH","PA-C","Physician Assistant",1
"IL","MD","Physical Medicine and Rehabilitation",1
"RI","PA-C","Physician Assistant",1
"IN","MD","Obstetrics/Gynecology",1
"CA","M.D., PH.D.","Psychiatry & Neurology",0
"GA","MD","Internal Medicine",1
"CA","M.D.","General Surgery",0
"DE","M.D.","Urology",1
"GA","MD","Emergency Medicine",1
"MN","M.D.","Student in an Organized Health Care Education/Training Program",0
"TX","M.D.","Family Practice",1
"TX","DDS","Dentist",1
"SC","M.D.","Obstetrics/Gynecology",1
"FL","MD","Emergency Medicine",1
"VA","MD","Family Practice",0
"FL","MD","Emergency Medicine",1
"TX","D.D.S.","Dentist",0
"CA","M.D.","Obstetrics/Gynecology",0
"FL","PAC","Family Practice",1
"WI","MD","Family Practice",1
"MN","D.D.S., M.D.","Dentist",0
"AL","MD","Radiation Oncology",1
"IL","M.D.","Ophthalmology",0
"IL","MD","Nephrology",1
"TX","M.D.","Psychiatry",0
"MA","M.D.","Dermatology",0
"NY","MD","Internal Medicine",1
"OH","MD","Urology",0
"PR","DMD","Dentist",0
"CA","M.D.","Endocrinology",1
"MO","MD","Internal Medicine",1
"PA","M.D.","Internal Medicine",0
"MI","D.P.M","Podiatry",0
"TX","MD","Orthopedic Surgery",1
"PA","D.P.M.","Podiatry",1
"MI","PA-C","Physician Assistant",1
"CA","CFNP","Nurse Practitioner",0
"SC","P.A.","Physician Assistant",1
"CA","MD","Cardiology",1
"CO","PA-C","Physician Assistant",0
"PA","MD","Internal Medicine",0
"GA","MD","Cardiology",0
"FL","M.D.","Neurosurgery",1
"WI","M.D.","Nephrology",0
"KY","DMD","Oral Surgery (dentists only)",1
"CA","MD","Hematology",1
"WV","DDA","Dentist",0
"TX","MD","Specialist",0
"GA","M.D.","General Surgery",1
"NJ","M.D.","Hematology/Oncology",1
"VA","DDS","Dentist",0
"MI","M.D.","Internal Medicine",1
"TX","D.O.","Otolaryngology",0
"GA","DMD","Dentist",0
"NC","DDS","Dentist",1
"PA","M.D.","Family Practice",1
"IA","ARNP","Nurse Practitioner",1
"IL","D.O.","Emergency Medicine",1
"OH","M.D.","Orthopedic Surgery",1
"MA","D.O.","Internal Medicine",0
"ND","FNP-C","Nurse Practitioner",1
"PA","M.D","Family Practice",1
"NY","FNP-C","Nurse Practitioner",1
"DC","M.D.","Internal Medicine",1
"KY","P.A.-C.","Physician Assistant",0
"WI","MD","Family Practice",1
"OK","PA-C","Physician Assistant",0
"OK","M.D.","Orthopedic Surgery",1
"MD","M.D.","Cardiology",1
"NY","MD","Urology",1
"TX","M.D.","Family Practice",1
"CA","D.O.","Physical Medicine and Rehabilitation",1
"FL","MD","Family Practice",1
"CA","PA","Physician Assistant",1
"OH","D.D.S","Dentist",0
"CA","MD","General Surgery",1
"ND","MD","Internal Medicine",1
"GA","D.D.S.","Dentist",1
"NC","MD","General Surgery",1
"MI","N.P.","Nurse Practitioner",0
"TN","M.D.","Internal Medicine",0
"MI","MD","Emergency Medicine",1
"OR","D.M.D., P.C","Dentist",1
"NC","M.D.","Specialist",1
"NY","D.D.S.","Dentist",0
"TX","D.O.","Family Practice",1
"NH","DMD","Dentist",0
"GA","DMD","Dentist",1
"OH","MD","Hematology/Oncology",1
"IL","MD","Internal Medicine",0
"FL","M.D., P.A.","Plastic Surgery",1
"AL","CRNP","Nurse Practitioner",1
"FL","ARNP","Nurse Practitioner",0
"FL","D.O.","Internal Medicine",1
"LA","M.D.","Internal Medicine",1
"WV","DDS","Dentist",1
"TX","MD","Internal Medicine",1
"MI","DDS","Dentist",0
"CA","NP","Nurse Practitioner",0
"HI","MD","Orthopedic Surgery",1
"TX","MD  PA","Family Practice",1
"AL","MD","Neurology",1
"OH","M.D.","Pediatric Medicine",0
"OH","MD","Internal Medicine",1
"VA","PA-C","Physician Assistant",1
"WV","MD","Family Practice",1
"OR","M.D.","Internal Medicine",1
"NY","M.D.","Psychiatry",0
"WI","M.D.","Internal Medicine",1
"MD","DPM","Podiatry",1
"MA","M.D.","Psychiatry",0
"FL","DDS","Dentist",0
"CO","","Emergency Medicine",1
"MA","PMHCNS-BC","Certified Clinical Nurse Specialist",0
"IA","M.D.","General Practice",1
"UT","M.D.","Family Practice",1
"OH","","Student in an Organized Health Care Education/Training Program",1
"CA","MD","Emergency Medicine",1
"TX","M.D.","Family Practice",1
"MA","M.D.","Urology",1
"NY","M.D","Student in an Organized Health Care Education/Training Program",0
"FL","MD","Family Practice",1
"LA","RN MSN FNO-C","Nurse Practitioner",1
"ND","MD","Radiation Oncology",1
"CT","M.D","Internal Medicine",0
"CO","M.D.","Ophthalmology",0
"PR","MD","Internal Medicine",1
"NY","MD","Psychiatry",0
"WI","M.D.","Allergy/Immunology",0
"CA","DDS","Dentist",1
"VA","PA","Physician Assistant",1
"FL","O.D.","Optometry",0
"WI","NP","Nurse Practitioner",1
"MI","D.O.","Urology",1
"OK","DDS","Dentist",1
"PA","MD, FACS","Urology",1
"IL","MD","Internal Medicine",1
"TX","MD","Physical Medicine and Rehabilitation",1
"SC","FNP","Nurse Practitioner",0
"NY","MD","Cardiology",0
"OH","DPM","Podiatry",1
"OH","M.D.","Emergency Medicine",1
"NY","NP","Nurse Practitioner",0
"CA","MD","Internal Medicine",0
"WV","DO","Dentist",0
"VA","MD","Internal Medicine",0
"NY","P.A.","Physician Assistant",0
"IL","M.D","Internal Medicine",0
"NY","M.D.","Obstetrics/Gynecology",0
"WA","ARNP","Nurse Practitioner",1
"AZ","M.D. (H)","Homeopath",0
"OH","M.D.","Family Practice",1
"AL","MD","Family Practice",1
"NY","MD","Internal Medicine",1
"CA","MD","Emergency Medicine",1
"OH","M.D.","Internal Medicine",1
"SC","MD","Psychiatry",0
"NY","D.O.","Dermatology",0
"FL","M.D.","Internal Medicine",1
"OK","D.O.","Family Practice",0
"CA","DDS","Dentist",0
"CA","MD","Psychiatry",0
